"Chr","Start","End","Conc","Conc_liver","Conc_colon","Fold","p-value","FDR"
"chr4",89299829,89300715,3.3,3.7,2.76,0.93,0.0019,1
"chr4",68566371,68567327,4.3,4.61,3.9,0.71,0.00192,1
"chr15",102264142,102265036,4.1,4.47,3.61,0.86,0.00193,1
"chr18",46065221,46067911,4.37,4.67,3.99,0.69,0.00196,1
"chr8",87520383,87521231,4.39,4.67,4.04,0.63,0.00201,1
"chr3",105587299,105588553,4.66,4.94,4.32,0.62,0.00202,1
"chr1",85513621,85514632,3.53,3.93,2.99,0.94,0.00204,1
"chr2",230785968,230787884,4.53,4.81,4.18,0.63,0.00204,1
"chr8",116463609,116464549,3.61,3.66,3.56,0.1,0.00212,1
"chr15",41099242,41100075,3.22,3.56,2.79,0.77,0.00213,1
"chr5",158689579,158690732,3.54,3.91,3.05,0.86,0.00217,1
"chr11",124609504,124610831,4.09,4.4,3.7,0.7,0.00221,1
"chr9",123604906,123605800,3.79,4.14,3.33,0.8,0.00222,1
"chr20",45985290,45986405,3.22,3.55,2.8,0.75,0.00225,1
"chr2",180871388,180872332,3.31,3.73,2.71,1.01,0.00227,1
"chr1",85155491,85156589,4.35,4.62,4.03,0.59,0.00233,1
"chr6",39901646,39902491,3.12,3.52,2.55,0.97,0.00234,1
"chr1",143912850,143914389,3.61,3.95,3.17,0.78,0.00234,1
"chr13",21140715,21141752,3.56,3.93,3.05,0.88,0.00235,1
"chr2",132249268,132250908,4.7,4.98,4.36,0.63,0.00235,1
"chr8",82753997,82755255,4.65,4.96,4.26,0.71,0.00236,1
"chr4",87515038,87516540,4.43,4.76,4.01,0.75,0.00237,1
"chr9",117349586,117350448,3.44,3.8,2.96,0.84,0.00237,1
"chr7",26331167,26332120,3.17,3.67,2.42,1.25,0.00238,1
"chr6",52441337,52442388,4.25,4.51,3.93,0.58,0.00241,1
"chr3",48700293,48701767,4.07,4.37,3.7,0.67,0.00245,1
"chr5",139554338,139555406,3.81,4.16,3.35,0.81,0.00247,1
"chr1",68961886,68963210,4.21,4.51,3.84,0.67,0.00248,1
"chr5",55007666,55009152,3.43,3.76,2.99,0.77,0.00249,1
"chr4",75023309,75024248,3.75,4.15,3.21,0.93,0.0025,1
"chr4",174290570,174293145,5.11,5.4,4.75,0.65,0.00254,1
"chr5",145214421,145215397,3.83,4.16,3.41,0.75,0.00256,1
"chr2",69870002,69871565,3.7,4,3.31,0.69,0.00258,1
"chr7",90225121,90226117,3.53,3.94,2.95,0.99,0.00258,1
"chr14",77786580,77787951,4.62,4.92,4.25,0.67,0.00259,1
"chr4",175204152,175205559,4.13,4.47,3.68,0.78,0.00259,1
"chr11",9405977,9407034,3.62,3.91,3.25,0.66,0.00262,1
"chr1",161195327,161196015,3.38,3.77,2.84,0.93,0.00265,1
"chr3",87275934,87277629,4.12,4.44,3.7,0.74,0.00267,1
"chr5",43514764,43515621,3.25,3.62,2.76,0.86,0.00268,1
"chr8",97657191,97657981,4.16,4.5,3.7,0.8,0.00269,1
"chr1",211848748,211849638,3.56,3.92,3.1,0.82,0.00273,1
"chr9",4661999,4663088,3.64,3.99,3.17,0.82,0.00273,1
"chr1",156710490,156711322,3.51,3.85,3.07,0.77,0.00278,1
"chr8",62588519,62588961,2.16,2.4,1.86,0.55,0.00279,1
"chr8",48872509,48873886,4.15,4.48,3.71,0.77,0.00284,1
"chr12",125423746,125425601,4.34,4.65,3.95,0.7,0.00286,1
"chr1",201139677,201140641,3.77,4.06,3.42,0.63,0.00287,1
"chr2",118845566,118846479,4.2,4.51,3.8,0.71,0.00288,1
"chr4",166248074,166249089,4.66,4.98,4.25,0.73,0.00288,1
"chr2",211341022,211342542,3.93,4.28,3.47,0.81,0.00292,1
"chr1",162530671,162531925,4.21,4.53,3.81,0.72,0.00297,1
"chr13",38923246,38924586,4.23,4.56,3.79,0.77,0.00299,1
"chr4",171010482,171011605,4.09,4.43,3.64,0.78,0.00302,1
"chr7",32981529,32983090,3.84,4.13,3.47,0.66,0.00304,1
"chr1",114471718,114472919,3.86,4.12,3.53,0.59,0.0031,1
"chr4",160023809,160025298,4.75,5.01,4.44,0.57,0.00314,1
"chr5",141348324,141350088,3.99,4.31,3.59,0.72,0.00316,1
"chr12",16034783,16035720,3.56,3.91,3.1,0.8,0.00318,1
"chr5",154236921,154238363,4.7,5.03,4.28,0.74,0.00319,1
"chr2",58273265,58274547,4.43,4.73,4.05,0.68,0.00325,1
"chr1",109968636,109969495,3.69,4.04,3.23,0.81,0.00326,1
"chr3",53925260,53926476,3.99,4.31,3.57,0.74,0.00328,1
"chr2",73612608,73613670,4.14,4.42,3.79,0.63,0.00328,1
"chr3",132378065,132379731,4.25,4.6,3.8,0.8,0.00328,1
"chr12",49411856,49413190,3.92,4.16,3.63,0.52,0.00331,1
"chr12",52430495,52431427,3.48,3.76,3.12,0.64,0.00332,1
"chr12",39298607,39300833,4.78,5.06,4.42,0.64,0.00332,1
"chr5",153417863,153418814,3.92,4.33,3.36,0.97,0.00333,1
"chr12",120105338,120106262,3.96,4.26,3.59,0.68,0.00335,1
"chr2",200775576,200776738,4.25,4.6,3.79,0.8,0.00335,1
"chr14",31494607,31496295,4.3,4.57,3.96,0.61,0.00337,1
"chr3",114342615,114344127,3.65,3.88,3.37,0.52,0.00338,1
"chr2",157197743,157199437,4.75,5.02,4.42,0.6,0.00339,1
"chr3",179065175,179065985,3.41,3.81,2.85,0.96,0.0034,1
"chr16",20817451,20818532,3.71,4.06,3.25,0.82,0.00344,1
"chr2",201936120,201936941,3.32,3.71,2.79,0.92,0.00345,1
"chr4",187647023,187648207,3.85,4.17,3.45,0.72,0.00348,1
"chr6",170893273,170894236,3.74,4.05,3.35,0.7,0.00351,1
"chr21",30445614,30446410,3.65,3.97,3.24,0.74,0.00352,1
"chr13",53024050,53025083,4.29,4.55,3.96,0.59,0.00355,1
"chr8",56792058,56793416,4.15,4.44,3.79,0.66,0.00356,1
"chr14",23790001,23791158,4.65,4.86,4.4,0.46,0.00358,1
"chr9",72873166,72874490,4.15,4.47,3.73,0.75,0.0036,1
"chr4",17811946,17813167,4.45,4.71,4.12,0.59,0.00363,1
"chr2",38603466,38605126,4.73,4.95,4.47,0.48,0.00368,1
"chr2",120770185,120771263,3.77,4.05,3.41,0.64,0.0037,1
"chr9",35731939,35733425,4.37,4.67,3.98,0.68,0.00371,1
"chr1",233430752,233431726,3.32,3.69,2.83,0.86,0.00371,1
"chr5",43120903,43122304,4.64,4.92,4.31,0.61,0.00373,1
"chr4",187111927,187113490,4.48,4.8,4.09,0.71,0.00373,1
"chr3",156272508,156273356,3.93,4.25,3.51,0.73,0.00378,1
"chr2",27712055,27712996,3.35,3.77,2.77,1,0.00379,1
"chr9",34522771,34523530,3.53,3.82,3.17,0.65,0.00379,1
"chr1",43147543,43148975,4.03,4.26,3.75,0.51,0.0038,1
"chr3",135684150,135685392,4.85,5.14,4.49,0.64,0.00383,1
"chr3",93698635,93699529,4.31,4.62,3.92,0.69,0.00384,1
"chr11",125462154,125463230,4.29,4.59,3.91,0.69,0.00386,1
"chr7",86781287,86782404,4.62,4.88,4.3,0.57,0.00388,1
"chr4",78077693,78079692,4.72,4.97,4.42,0.56,0.00389,1
"chr11",59317763,59318784,3.85,4.07,3.58,0.5,0.00393,1
"chr9",33166804,33167663,3.6,3.91,3.21,0.7,0.00394,1
"chr8",28746907,28748666,4.44,4.69,4.14,0.55,0.00399,1
"chr2",39174324,39175121,2.97,3.37,2.4,0.97,0.004,1
"chr1",51425067,51426394,4.38,4.61,4.1,0.51,0.004,1
"chr9",124461183,124462806,4.06,4.23,3.87,0.36,0.00402,1
"chr7",105172346,105173226,3.52,3.82,3.14,0.68,0.00402,1
"chr9",26946712,26947687,3.82,4.12,3.42,0.7,0.00403,1
"chr4",79472580,79473980,3.5,3.8,3.11,0.69,0.00404,1
"chr12",118541179,118542339,3.82,4.12,3.43,0.7,0.00406,1
"chr3",160282494,160284095,4.88,5.17,4.52,0.65,0.00409,1
"chr5",61699231,61700269,4.1,4.4,3.73,0.67,0.00409,1
"chr5",32312412,32313602,4.75,5,4.46,0.54,0.00411,1
"chr13",100622360,100624194,4.24,4.51,3.92,0.58,0.00412,1
"chr10",69523740,69525088,3.97,4.26,3.6,0.66,0.00413,1
"chr4",108745350,108746627,4.23,4.51,3.89,0.62,0.00414,1
"chr12",127610225,127611046,3.83,4.18,3.36,0.82,0.00418,1
"chr6",146135284,146136403,3.98,4.29,3.59,0.7,0.00424,1
"chr3",169489691,169492245,4.5,4.75,4.2,0.55,0.00425,1
"chr14",35515149,35516245,3.97,4.23,3.65,0.58,0.00427,1
"chr2",61404013,61405017,3.91,4.2,3.54,0.66,0.00428,1
"chr10",86087946,86089231,4.47,4.73,4.15,0.58,0.00431,1
"chr4",128885288,128887231,4.65,4.91,4.34,0.56,0.00432,1
"chr17",8338856,8339907,3.62,3.94,3.21,0.73,0.00435,1
"chr16",58426075,58427138,2.48,2.98,1.71,1.26,0.00435,1
"chr3",9987948,9989303,4.25,4.53,3.9,0.62,0.00436,1
"chr2",210288046,210289347,4.43,4.67,4.14,0.53,0.00436,1
"chr6",91296303,91297289,3.57,3.88,3.19,0.69,0.00438,1
"chr12",100660345,100661622,4.69,4.97,4.34,0.64,0.00438,1
"chr3",156391681,156394024,4.84,5.12,4.49,0.62,0.00442,1
"chr11",85374605,85376472,4.45,4.72,4.11,0.61,0.00444,1
"chr7",137686161,137687313,4.68,4.96,4.34,0.61,0.00444,1
"chr7",77427359,77428976,4.75,5.03,4.41,0.62,0.00446,1
"chr9",88968677,88969772,4.15,4.45,3.78,0.67,0.00446,1
"chr8",81785422,81787138,3.94,4.21,3.6,0.61,0.0045,1
"chr6",131948800,131949769,3.99,4.25,3.67,0.58,0.00451,1
"chr6",126307066,126308266,3.59,3.9,3.19,0.71,0.00451,1
"chr7",120590459,120591424,4.74,4.94,4.51,0.43,0.00452,1
"chr10",97050379,97051112,3.09,3.42,2.65,0.77,0.00453,1
"chr3",152016298,152017667,3.65,3.8,3.48,0.33,0.00455,1
"chr6",116600090,116601443,3.81,4.16,3.36,0.8,0.00455,1
"chr3",141456760,141457952,4.28,4.54,3.96,0.58,0.00455,1
"chr7",7679892,7680872,4.31,4.66,3.85,0.81,0.00457,1
"chr15",91497848,91498701,3.68,4.01,3.24,0.78,0.00457,1
"chr17",73780495,73781386,4.39,4.6,4.15,0.45,0.00457,1
"chr4",185393816,185396119,4.49,4.65,4.31,0.34,0.0046,1
"chr17",31203351,31204540,4.5,4.79,4.14,0.65,0.00463,1
"chr2",208489494,208492036,4.66,4.9,4.37,0.53,0.00463,1
"chr6",147523497,147525801,4.69,4.99,4.3,0.69,0.00464,1
"chr4",83821352,83822471,4.31,4.6,3.94,0.66,0.00466,1
"chr2",145089574,145090619,4.7,4.99,4.34,0.64,0.00468,1
"chr7",141250780,141251617,2.88,3.28,2.33,0.95,0.00471,1
"chr2",220071190,220072401,4.17,4.38,3.91,0.47,0.00473,1
"chr1",118471461,118472787,4.33,4.63,3.95,0.68,0.00473,1
"chr1",167904772,167906375,4.63,4.89,4.33,0.56,0.00478,1
"chr10",122702289,122703182,3.61,3.9,3.24,0.66,0.0048,1
"chr5",159200009,159200777,3.32,3.64,2.9,0.75,0.00481,1
"chr4",37687488,37688653,4.82,5.08,4.49,0.59,0.00482,1
"chr5",34929221,34930428,4.95,5.21,4.64,0.57,0.00486,1
"chr13",26827764,26829148,4.08,4.37,3.72,0.66,0.00492,1
"chr8",132868801,132869487,3.41,3.79,2.88,0.91,0.00492,1
"chr2",183902098,183903774,4.67,4.9,4.39,0.51,0.00493,1
"chr11",129939109,129940832,4.5,4.77,4.18,0.59,0.00495,1
"chr10",118706539,118707999,3.64,3.96,3.25,0.71,0.00498,1
"chr3",32433015,32434140,3.42,3.82,2.86,0.97,0.00499,1
"chr2",17934438,17935807,4.34,4.64,3.97,0.67,0.00499,1
"chr8",110656247,110657507,4.42,4.72,4.05,0.67,0.005,1
"chr1",38324858,38326116,4.06,4.3,3.78,0.52,0.005,1
"chr4",183837902,183839264,3.98,4.3,3.58,0.72,0.00509,1
"chr3",177074910,177078092,4.55,4.79,4.28,0.51,0.00509,1
"chr5",178977338,178978381,3.65,3.93,3.3,0.63,0.0051,1
"chr11",4629009,4629773,4.08,4.36,3.73,0.63,0.00512,1
"chr1",231113910,231115080,4.45,4.72,4.13,0.59,0.00515,1
"chr2",162164589,162165402,3.47,3.8,3.05,0.75,0.00516,1
"chr1",51701613,51702795,3.67,3.94,3.35,0.59,0.00516,1
"chrX",139013769,139015786,4.15,4.4,3.84,0.57,0.00518,1
"chr2",128848412,128849209,3.55,3.86,3.17,0.69,0.00521,1
"chr11",102139040,102140067,3.62,3.94,3.19,0.75,0.00524,1
"chr3",49027064,49028415,3.3,3.59,2.94,0.65,0.00531,1
"chr17",59329373,59330023,3.22,3.44,2.97,0.47,0.00533,1
"chr12",105351508,105352836,4.26,4.52,3.94,0.58,0.00534,1
"chr6",8102187,8103120,3.7,3.94,3.4,0.54,0.00535,1
"chr4",184365088,184366891,3.51,3.79,3.16,0.63,0.00535,1
"chrX",80376318,80377550,3.93,4.2,3.59,0.6,0.00543,1
"chr6",111135700,111137432,4.84,5.05,4.59,0.45,0.00545,1
"chr9",79008692,79009995,4.43,4.74,4.04,0.71,0.00554,1
"chr7",95950524,95951777,4.43,4.7,4.09,0.6,0.00554,1
"chr5",6632749,6633986,4.21,4.52,3.83,0.69,0.00556,1
"chr15",50978341,50979295,3.71,3.94,3.44,0.5,0.00556,1
"chr1",209824546,209826810,4.56,4.83,4.24,0.6,0.00558,1
"chr3",130465233,130467111,3.73,4.02,3.37,0.65,0.00559,1
"chr14",55737702,55738901,3.77,4.14,3.28,0.86,0.00565,1
"chr6",37225171,37226135,3.48,3.84,3,0.84,0.00569,1
"chr6",144416169,144417233,3.94,4.18,3.64,0.54,0.00571,1
"chr2",70780632,70781587,4.07,4.31,3.79,0.52,0.00574,1
"chr3",130611781,130613675,4.66,4.9,4.38,0.52,0.00575,1
"chr5",44808636,44809956,3.99,4.27,3.63,0.65,0.00576,1
"chr2",25142031,25143848,3.66,3.96,3.29,0.67,0.00579,1
"chr4",114682201,114684054,4.25,4.53,3.9,0.63,0.0058,1
"chr1",98386094,98387151,4.06,4.35,3.7,0.65,0.00582,1
"chrX",100074795,100075618,2.7,3.21,1.89,1.33,0.00585,1
"chr1",52082479,52083551,3.73,3.89,3.55,0.34,0.00585,1
"chr2",38303271,38304553,3.89,4.21,3.48,0.73,0.00587,1
"chr12",113622360,113623774,4,4.29,3.65,0.64,0.00589,1
"chr2",128615448,128616078,3.24,3.58,2.8,0.78,0.00589,1
"chr2",228189451,228190698,3.56,3.86,3.18,0.69,0.00591,1
"chr5",58423154,58423899,3.13,3.42,2.78,0.64,0.00593,1
"chr11",36615706,36616515,3.34,3.72,2.82,0.9,0.00595,1
"chr6",20211512,20213194,4.42,4.74,4.02,0.72,0.00595,1
"chr2",166809873,166810881,4.13,4.39,3.81,0.57,0.00596,1
"chrX",129243243,129245448,3.55,3.87,3.14,0.73,0.00596,1
"chr2",209130075,209131426,4.28,4.61,3.86,0.75,0.00598,1
"chr3",57582327,57583777,4.38,4.71,3.95,0.76,0.00602,1
"chr3",101443176,101444599,4.13,4.39,3.82,0.57,0.00603,1
"chr11",124981131,124982059,4.46,4.72,4.15,0.56,0.00606,1
"chr2",145461466,145461993,3.51,3.71,3.28,0.43,0.00606,1
"chr6",82461392,82463933,5.3,5.57,4.96,0.61,0.00608,1
"chr12",95043381,95044551,3.25,3.58,2.83,0.74,0.00608,1
"chr10",121301813,121303172,4.61,4.85,4.32,0.53,0.00609,1
"chr1",54965032,54966078,2.76,3.19,2.15,1.04,0.00615,1
"chr10",129845292,129846071,3.86,4.14,3.51,0.63,0.00616,1
"chr6",90348015,90348770,3.41,3.78,2.9,0.88,0.00622,1
"chr12",94542154,94543694,4.09,4.16,4.01,0.14,0.00627,1
"chr12",104323237,104324613,4.66,4.92,4.34,0.57,0.00627,1
"chr6",2988688,2990138,4,4.3,3.62,0.68,0.00627,1
"chr4",22516741,22518063,4.3,4.63,3.88,0.75,0.00628,1
"chr10",75910215,75911438,3.79,4.1,3.39,0.71,0.0063,1
"chr1",61547799,61549467,3.8,4.01,3.56,0.44,0.00633,1
"chr2",64751157,64751998,3.8,4.02,3.53,0.49,0.00635,1
"chr13",111367458,111368361,4.55,4.79,4.25,0.54,0.00638,1
"chr8",579255,581375,4.73,5.02,4.36,0.65,0.00639,1
"chr7",92218975,92219954,3.74,4.02,3.39,0.63,0.0064,1
"chr12",44199489,44200420,3.47,3.8,3.05,0.75,0.00641,1
"chr6",2765056,2766355,4.39,4.62,4.11,0.5,0.00642,1
"chr1",62901663,62903192,4.8,5.03,4.53,0.5,0.00642,1
"chr2",207023883,207024994,4.11,4.39,3.75,0.65,0.00647,1
"chr2",20250554,20252840,4.71,4.94,4.42,0.52,0.00647,1
"chr7",25164661,25165486,3.98,4.22,3.68,0.54,0.00647,1
"chr3",115502761,115503768,4.39,4.69,4.02,0.66,0.00648,1
"chr16",734063,734670,2.98,3.37,2.46,0.9,0.0065,1
"chr4",128801777,128803038,4.28,4.56,3.93,0.63,0.00652,1
"chr7",97501100,97502049,3.89,4.17,3.54,0.63,0.00652,1
"chr8",17658317,17659281,3.64,3.95,3.24,0.7,0.00656,1
"chr7",151328768,151329797,3.95,4.24,3.58,0.66,0.00656,1
"chr6",13328316,13329220,3.47,3.84,2.97,0.88,0.00657,1
"chr2",145265747,145266138,2.26,2.44,2.07,0.37,0.00657,1
"chr4",141348421,141349222,2.9,3.36,2.21,1.16,0.0066,1
"chr1",160990533,160991461,3.93,4.19,3.61,0.59,0.0066,1
"chr1",120217521,120218582,2.88,3.28,2.33,0.95,0.00663,1
"chr11",77348384,77349478,2.87,3.35,2.14,1.21,0.00665,1
"chr18",32621034,32622484,3.59,3.87,3.25,0.62,0.00665,1
"chr2",150186241,150187838,4.41,4.68,4.08,0.61,0.00665,1
"chr1",65531935,65533871,4.37,4.64,4.03,0.61,0.00669,1
"chr6",131383484,131384847,3.81,4.12,3.43,0.69,0.0067,1
"chr9",71394497,71395904,4.09,4.36,3.76,0.61,0.00671,1
"chr1",109234551,109236280,4.54,4.71,4.35,0.36,0.00673,1
"chr4",9533654,9534878,3.54,3.86,3.12,0.75,0.00675,1
"chr10",94050340,94052027,4.03,4.32,3.68,0.64,0.00677,1
"chr12",32831873,32832861,4.22,4.46,3.93,0.53,0.00681,1
"chr3",19988228,19989595,4.57,4.87,4.19,0.68,0.00683,1
"chr2",39351157,39351926,3.85,4.11,3.53,0.58,0.00686,1
"chr2",38689105,38689885,2.99,3.37,2.48,0.89,0.00687,1
"chr1",178511418,178512521,3.73,3.96,3.46,0.51,0.00691,1
"chr11",62598637,62599906,4.12,4.4,3.76,0.64,0.00692,1
"chr1",209920961,209921652,3.87,4.15,3.53,0.62,0.00692,1
"chr2",68478198,68480381,4.64,4.9,4.33,0.57,0.00693,1
"chr19",30335269,30336539,4.53,4.78,4.21,0.57,0.00694,1
"chr5",53813162,53815234,4.6,4.8,4.37,0.43,0.00695,1
"chr20",3869132,3870497,4.32,4.57,4,0.57,0.00696,1
"chr5",64858583,64859563,3.56,3.91,3.1,0.81,0.00697,1
"chr2",85822272,85823307,3.33,3.67,2.88,0.79,0.007,1
"chr1",185125611,185126843,4.84,5.1,4.52,0.58,0.007,1
"chr10",89101411,89103076,3.22,3.54,2.81,0.73,0.00701,1
"chr4",170191262,170192726,4.22,4.5,3.87,0.62,0.00702,1
"chr2",48667337,48668347,4.07,4.35,3.73,0.61,0.00704,1
"chr9",34048405,34049665,3.89,4.16,3.56,0.6,0.00706,1
"chr9",79073836,79075506,4.4,4.67,4.07,0.6,0.00708,1
"chr4",108640740,108641903,4.36,4.65,3.99,0.67,0.00709,1
"chr4",467232,468296,3.74,4,3.41,0.6,0.00713,1
"chr1",174128204,174129633,4.41,4.66,4.11,0.55,0.00714,1
"chr2",145274791,145276078,4.21,4.29,4.12,0.16,0.00715,1
"chr7",111845890,111847134,4.89,5.13,4.58,0.55,0.00715,1
"chr1",95699343,95700361,4.12,4.4,3.78,0.62,0.00718,1
"chr11",47416245,47417236,3.3,3.42,3.17,0.25,0.00721,1
"chr3",185826628,185827434,4.51,4.72,4.26,0.47,0.00728,1
"chr4",154386821,154388864,4.2,4.49,3.85,0.64,0.00729,1
"chr19",54483277,54485993,4.83,5.08,4.53,0.55,0.0073,1
"chr12",57029882,57030972,4.11,4.32,3.86,0.45,0.00734,1
"chr4",120221349,120222297,3.92,4.19,3.58,0.61,0.00734,1
"chr17",1990893,1991336,3.13,3.29,2.95,0.35,0.00737,1
"chr13",111358182,111358947,4.09,4.34,3.78,0.56,0.00739,1
"chr4",146402425,146404092,4.02,4.34,3.61,0.73,0.0074,1
"chr11",94226538,94227583,3.95,4.23,3.6,0.63,0.0074,1
"chr2",197790486,197791980,3.84,4.14,3.46,0.68,0.00743,1
"chr3",69100655,69101780,3.45,3.79,3.01,0.77,0.00745,1
"chr7",143598549,143599501,4.24,4.51,3.91,0.6,0.00746,1
"chr7",92861087,92862112,4.07,4.38,3.66,0.72,0.00746,1
"chr1",193090756,193091744,4.67,4.9,4.39,0.51,0.00747,1
"chr3",4909421,4910719,3.43,3.77,2.99,0.78,0.0075,1
"chr6",100015924,100017233,3.63,3.93,3.24,0.69,0.00751,1
"chr2",211035135,211036513,4.89,5.09,4.64,0.45,0.00757,1
"chr7",92157024,92158345,4.5,4.83,4.08,0.75,0.0076,1
"chr7",138144494,138145902,5.2,5.46,4.89,0.57,0.00762,1
"chr1",224620940,224623218,4.08,4.27,3.87,0.4,0.00765,1
"chr8",81665238,81666447,3.29,3.64,2.82,0.82,0.00766,1
