"Chr","Start","End","Conc","Conc_colon","Conc_liver","Fold","p-value","FDR"
"chr3",182422770,182423125,2.97,1.86,3.58,-1.72,0.203,1
"chr3",116489601,116490070,3.93,2.82,4.55,-1.73,0.205,1
"chr7",96694254,96694970,3.52,2.55,4.1,-1.55,0.206,1
"chr6",8776094,8776713,1.53,0.04,2.24,-2.2,0.207,1
"chr8",79933168,79933577,3.64,2.58,4.24,-1.66,0.208,1
"chr12",49830049,49830829,1.32,2.07,-0.3,2.37,0.209,1
"chr9",78470375,78470850,3.39,2.16,4.04,-1.88,0.211,1
"chr6",122021380,122021706,2.19,0.89,2.86,-1.96,0.211,1
"chr9",70489495,70490545,3.94,2.75,4.58,-1.83,0.211,1
"chr19",11557516,11557991,3.04,2.11,3.59,-1.48,0.211,1
"chr5",61519090,61519617,2.21,0.89,2.89,-2,0.212,1
"chr16",18599341,18599726,1.34,-0.4,2.11,-2.51,0.215,1
"chr8",11973128,11973591,1.48,0.04,2.19,-2.14,0.215,1
"chr6",9766391,9767031,3.26,2.16,3.87,-1.72,0.215,1
"chr1",149513732,149514723,1.48,-0.06,2.21,-2.26,0.216,1
"chr13",107857605,107858108,3.52,2.53,4.1,-1.57,0.217,1
"chr6",46843799,46844387,3.52,2.53,4.1,-1.57,0.217,1
"chr13",47222234,47222598,2.58,1.46,3.21,-1.75,0.218,1
"chr3",31770748,31771392,3.75,2.68,4.36,-1.68,0.219,1
"chr12",89936722,89937125,2.87,1.69,3.51,-1.81,0.22,1
"chr12",18312079,18312384,1.98,0.84,2.61,-1.77,0.22,1
"chr1",62458882,62459492,3.62,2.56,4.22,-1.66,0.221,1
"chr7",16117629,16118132,3.23,2.27,3.8,-1.53,0.222,1
"chr4",27686130,27686568,3.3,2.18,3.92,-1.74,0.222,1
"chr10",86475593,86476076,3.28,2.27,3.87,-1.61,0.223,1
"chr4",123371991,123372326,3.12,1.99,3.74,-1.75,0.223,1
"chr5",431100,431425,2.97,1.89,3.58,-1.69,0.223,1
"chr1",74934678,74935094,2.78,1.56,3.42,-1.86,0.223,1
"chr19",9247117,9247583,3.25,2.33,3.81,-1.48,0.224,1
"chr2",179778958,179779401,3.31,2.18,3.94,-1.76,0.224,1
"chr6",122702645,122703269,3.13,1.99,3.76,-1.77,0.225,1
"chr4",190756805,190758344,1.08,-0.54,1.83,-2.37,0.225,1
"chr2",216693195,216694103,4.12,3.17,4.69,-1.52,0.225,1
"chr21",26757438,26758581,3.09,2.18,3.64,-1.46,0.226,1
"chr8",86999419,86999898,3.69,2.71,4.27,-1.57,0.226,1
"chr7",8343376,8343997,4.14,3.15,4.73,-1.58,0.227,1
"chr1",64446599,64447116,3.21,2.16,3.81,-1.65,0.227,1
"chr14",100574625,100575079,3.62,2.64,4.2,-1.55,0.227,1
"chr22",32954621,32955112,3.49,2.49,4.07,-1.57,0.227,1
"chr3",168594844,168596238,3.18,2.16,3.77,-1.61,0.228,1
"chr3",181419819,181420313,3.26,2.2,3.86,-1.66,0.228,1
"chr2",10334,11841,3.62,2.72,4.17,-1.45,0.228,1
"chr7",33847371,33847992,3.1,2.07,3.7,-1.63,0.228,1
"chr5",70743028,70743406,1.71,0.38,2.39,-2,0.228,1
"chr1",9785043,9785437,3.59,2.71,4.14,-1.43,0.229,1
"chr2",142226292,142227107,3.23,2.16,3.84,-1.68,0.229,1
"chr6",133258622,133259001,3.05,2.09,3.62,-1.53,0.229,1
"chr3",197121547,197121911,3.22,2.33,3.77,-1.44,0.229,1
"chr3",5847435,5848279,3.16,2.11,3.76,-1.65,0.229,1
"chr15",41149878,41150258,3.38,2.51,3.92,-1.41,0.229,1
"chr12",54218849,54219535,3.58,2.68,4.13,-1.46,0.23,1
"chr12",83967402,83967864,3.67,2.66,4.26,-1.6,0.23,1
"chr4",128990114,128990438,2.77,1.69,3.38,-1.69,0.23,1
"chr1",49038248,49038739,4.02,3.02,4.61,-1.59,0.23,1
"chr1",176344072,176344559,3.56,2.55,4.14,-1.6,0.23,1
"chr5",41636728,41637106,3.1,2.04,3.71,-1.66,0.23,1
"chr11",92619313,92619824,3.34,2.37,3.92,-1.55,0.231,1
"chr15",57664170,57664813,3.74,2.82,4.3,-1.47,0.231,1
"chr11",106914293,106914769,2.97,1.94,3.57,-1.62,0.231,1
"chr5",344187,344873,3.69,2.74,4.26,-1.53,0.232,1
"chr17",29860555,29860955,3.32,2.31,3.91,-1.6,0.232,1
"chr4",119889272,119890823,4.34,3.4,4.9,-1.5,0.233,1
"chr4",83122718,83123534,3.26,2.29,3.84,-1.55,0.233,1
"chr10",85885681,85886334,3.27,2.29,3.86,-1.57,0.233,1
"chr5",10689509,10690194,3.35,2.38,3.93,-1.54,0.233,1
"chr8",127829253,127829709,3.63,2.71,4.19,-1.48,0.234,1
"chr4",73168787,73169263,3.23,2.27,3.81,-1.54,0.235,1
"chr8",53408412,53409116,3.87,2.97,4.42,-1.45,0.235,1
"chr9",33523612,33524061,1.24,1.97,-0.3,2.27,0.235,1
"chr3",158152232,158152570,3.04,2.07,3.61,-1.54,0.235,1
"chr2",1542423,1542900,4,2.88,4.62,-1.74,0.235,1
"chr11",117924016,117924525,3.69,2.71,4.26,-1.56,0.235,1
"chr7",48008427,48009237,3.05,2.07,3.63,-1.56,0.235,1
"chr12",90647440,90648046,4.47,3.38,5.09,-1.72,0.236,1
"chr2",57724645,57725111,3.3,2.33,3.87,-1.55,0.236,1
"chr4",122369290,122369810,2.94,1.92,3.53,-1.61,0.236,1
"chr3",111707883,111708316,3.19,2.2,3.77,-1.57,0.237,1
"chr16",71002209,71002666,3.99,3.11,4.53,-1.41,0.237,1
"chrX",150849364,150849675,2.48,1.38,3.1,-1.71,0.237,1
"chr1",171195879,171196267,3.28,2.25,3.87,-1.63,0.239,1
"chr6",151948832,151949514,3.77,2.84,4.34,-1.5,0.24,1
"chr8",25367391,25367797,2.8,1.75,3.4,-1.65,0.24,1
"chr2",210507029,210507367,2.91,1.89,3.5,-1.61,0.24,1
"chr16",33716086,33716519,1.55,0.04,2.27,-2.22,0.241,1
"chr16",75542625,75543680,3.1,2.25,3.64,-1.39,0.241,1
"chr8",120235011,120235702,4.04,2.99,4.64,-1.64,0.241,1
"chr3",124318919,124319984,3.2,2.33,3.75,-1.42,0.242,1
"chr12",65091715,65092105,3.03,2.04,3.61,-1.56,0.243,1
"chr2",73119784,73120915,4.13,3.31,4.65,-1.34,0.243,1
"chr3",177552735,177553222,3.73,2.78,4.3,-1.52,0.243,1
"chr11",32253405,32254048,3.49,2.53,4.06,-1.53,0.243,1
"chr4",171797007,171797443,3.08,2.18,3.63,-1.45,0.243,1
"chr9",99824782,99825142,2.89,1.89,3.47,-1.58,0.243,1
"chr5",49598897,49599336,3.04,2.04,3.63,-1.58,0.243,1
"chr9",21520602,21521932,5.12,4.16,5.69,-1.53,0.244,1
"chr6",51798899,51799331,2.83,1.81,3.42,-1.62,0.244,1
"chr7",12699948,12700537,3.77,2.82,4.33,-1.51,0.244,1
"chr8",53649638,53650094,3.35,2.35,3.93,-1.58,0.244,1
"chr5",98086354,98086948,3.04,2.07,3.62,-1.55,0.245,1
"chr6",85176273,85176603,3.3,2.4,3.85,-1.45,0.245,1
"chr11",67758203,67758999,1.91,0.66,2.57,-1.91,0.246,1
"chrX",149940653,149940962,2.78,1.78,3.36,-1.58,0.246,1
"chr1",95633086,95633471,2.31,1.22,2.92,-1.69,0.246,1
"chr9",26613835,26614240,2.02,0.89,2.64,-1.75,0.246,1
"chr10",91037843,91038289,3,2.09,3.56,-1.47,0.246,1
"chr4",68995492,68995891,2.68,1.63,3.28,-1.66,0.247,1
"chr7",11597247,11597683,3.36,2.29,3.96,-1.68,0.247,1
"chr4",52761885,52762372,3.49,2.56,4.05,-1.49,0.248,1
"chr20",25529164,25530150,3.38,2.56,3.9,-1.33,0.248,1
"chr2",118479402,118479851,3.08,2.04,3.67,-1.63,0.248,1
"chr4",32142176,32142723,3,1.92,3.61,-1.69,0.248,1
"chr1",219884059,219884492,3.57,2.69,4.11,-1.41,0.249,1
"chr1",102032739,102033761,3.23,2.33,3.79,-1.46,0.249,1
"chr3",122252681,122253154,3.37,2.37,3.96,-1.59,0.249,1
"chr5",42908889,42909400,3.8,2.88,4.36,-1.49,0.25,1
"chr1",214588061,214588541,3.18,2.22,3.75,-1.53,0.25,1
"chrX",3204285,3204966,3.26,2.39,3.8,-1.41,0.25,1
"chr2",69786766,69787263,3.44,2.55,3.98,-1.43,0.25,1
"chr8",62380015,62380471,3.85,2.92,4.41,-1.49,0.251,1
"chr7",156442803,156443123,2.97,2.09,3.51,-1.42,0.252,1
"chr9",103289400,103290282,3.48,2.53,4.05,-1.52,0.252,1
"chr7",14497375,14497677,3,2.07,3.57,-1.5,0.252,1
"chr6",86632594,86633213,4.31,3.41,4.86,-1.45,0.252,1
"chr2",88754308,88754712,3.17,2.2,3.74,-1.54,0.253,1
"chr1",152626529,152626983,2.88,1.86,3.47,-1.6,0.253,1
"chr7",72424452,72425545,1.53,0.31,2.19,-1.88,0.253,1
"chr22",30651948,30652328,4.03,3.21,4.55,-1.34,0.253,1
"chr16",72116278,72116652,2.87,1.92,3.44,-1.52,0.253,1
"chr5",71218262,71218826,3.41,2.51,3.96,-1.45,0.253,1
"chr13",114844250,114844633,2.96,2,3.53,-1.53,0.253,1
"chr11",112985142,112985585,3.4,2.48,3.95,-1.48,0.254,1
"chr7",83097519,83098038,4.23,3.27,4.8,-1.54,0.254,1
"chr14",32728853,32729246,2.91,1.89,3.51,-1.61,0.254,1
"chr6",55558953,55559345,3.02,2.14,3.56,-1.42,0.254,1
"chr9",66699823,66700601,1.98,0.66,2.66,-2,0.254,1
"chr2",131451072,131451469,3.4,2.44,3.97,-1.53,0.255,1
"chr2",209522199,209522648,3.4,2.44,3.97,-1.53,0.255,1
"chr12",41300777,41301438,4.04,3.13,4.59,-1.47,0.255,1
"chr15",30217717,30218354,4.04,3.18,4.58,-1.39,0.255,1
"chr18",73986608,73987065,3.41,2.48,3.97,-1.49,0.255,1
"chr9",90970028,90970342,2.43,1.53,2.98,-1.45,0.255,1
"chr9",96975814,96976220,3.32,2.42,3.87,-1.45,0.255,1
"chr5",59020360,59020741,2.82,1.84,3.4,-1.56,0.256,1
"chr4",16085116,16086017,4.34,3.45,4.88,-1.43,0.256,1
"chr17",8313634,8313921,3.07,2.18,3.62,-1.44,0.257,1
"chr8",89566661,89567063,3.04,2.11,3.61,-1.49,0.257,1
"chr8",2337019,2338458,1.19,-0.4,1.93,-2.33,0.257,1
"chr6",64017506,64018165,3.34,2.46,3.89,-1.43,0.258,1
"chr4",138741030,138741460,3.38,2.33,3.98,-1.65,0.258,1
"chr1",156553898,156554821,3.26,2.27,3.84,-1.57,0.258,1
"chr7",51434691,51435106,3.6,2.71,4.15,-1.45,0.258,1
"chr8",43793083,43794935,2.78,1.92,3.31,-1.39,0.258,1
"chr3",66126431,66126800,3.3,2.33,3.88,-1.55,0.258,1
"chr20",23648988,23649550,3.88,3,4.42,-1.43,0.258,1
"chr9",21777575,21778176,3.84,2.88,4.42,-1.54,0.259,1
"chr1",51657827,51658198,2.76,1.84,3.32,-1.48,0.259,1
"chr7",93220490,93221238,2.21,1.09,2.83,-1.74,0.259,1
"chr11",7557334,7557705,3.2,2.37,3.72,-1.36,0.26,1
"chr4",74531613,74532042,2.19,1.18,2.78,-1.6,0.26,1
"chr13",102743600,102743984,3.46,2.56,4.01,-1.45,0.26,1
"chr3",90231631,90232035,2.44,1.38,3.04,-1.66,0.261,1
"chr4",175077430,175077826,3.07,2.07,3.65,-1.58,0.261,1
"chr4",108951453,108951906,3.39,2.42,3.96,-1.54,0.261,1
"chr4",84703684,84704061,2.51,1.53,3.08,-1.55,0.261,1
"chr1",61407893,61408372,2.77,1.78,3.35,-1.57,0.261,1
"chr3",18600845,18601333,3.48,2.56,4.04,-1.48,0.261,1
"chr3",177801786,177802367,3.06,2.02,3.66,-1.64,0.262,1
"chr6",152659616,152660048,3.34,2.37,3.91,-1.55,0.262,1
"chr1",161397100,161398067,3.1,2.22,3.64,-1.42,0.262,1
"chr12",39999280,40000200,3.94,3.06,4.49,-1.43,0.262,1
"chr4",18595073,18595626,3.42,2.55,3.96,-1.42,0.263,1
"chr2",203582609,203583759,3.9,2.99,4.45,-1.46,0.263,1
"chr19",37663383,37664167,4.11,3.2,4.67,-1.46,0.263,1
"chr4",82834465,82834992,4.08,3.17,4.63,-1.46,0.263,1
"chr4",83189661,83190362,4.08,3.17,4.63,-1.46,0.263,1
"chr4",115729012,115729421,3.23,2.29,3.79,-1.51,0.263,1
"chr7",107786572,107787000,3.55,2.61,4.12,-1.5,0.264,1
"chr22",23470193,23470916,3.13,2.31,3.65,-1.34,0.264,1
"chr4",189892343,189892723,3.03,2.09,3.59,-1.5,0.264,1
"chr7",141997750,141998183,3.4,2.49,3.95,-1.46,0.265,1
"chr6",47148377,47148729,2.68,1.72,3.26,-1.53,0.265,1
"chr13",25688297,25688748,3.37,2.49,3.92,-1.42,0.265,1
"chr7",141675780,141676479,4.6,3.71,5.14,-1.44,0.265,1
"chr7",77054914,77055406,3.23,2.39,3.77,-1.38,0.265,1
"chr8",32572646,32573118,3.75,2.89,4.28,-1.39,0.265,1
"chr1",226098947,226099434,3.67,2.81,4.21,-1.4,0.265,1
"chr9",808708,808969,1.29,-0.06,1.97,-2.03,0.265,1
"chr8",86059646,86060014,2.92,1.97,3.48,-1.51,0.265,1
"chr3",26003721,26004188,3.7,2.71,4.29,-1.58,0.265,1
"chr21",18873599,18874093,3.15,2.27,3.7,-1.43,0.266,1
"chr20",52137766,52138345,3.43,2.58,3.96,-1.38,0.266,1
"chr5",105888987,105889359,1.48,0.31,2.12,-1.82,0.266,1
"chr7",29628715,29629260,3.18,2.33,3.71,-1.38,0.266,1
"chr7",56263905,56264395,3.34,2.44,3.89,-1.45,0.266,1
"chr9",21235663,21236354,3.62,2.71,4.18,-1.47,0.267,1
"chr17",16237430,16237719,2.08,0.89,2.73,-1.84,0.267,1
"chr5",97746179,97746644,1.15,1.87,-0.3,2.17,0.267,1
"chr3",4712047,4712441,2.99,1.99,3.57,-1.57,0.267,1
"chr13",95068680,95069087,3.11,2.11,3.69,-1.58,0.268,1
"chr11",102463665,102464085,2.9,1.94,3.47,-1.52,0.268,1
"chr18",39610556,39610950,3.1,2.16,3.67,-1.51,0.268,1
"chr5",119079719,119080103,2.98,2.02,3.55,-1.53,0.268,1
"chr4",174178897,174179316,3.35,2.46,3.89,-1.43,0.268,1
"chr3",120591342,120591718,0.95,-0.54,1.66,-2.21,0.268,1
"chr8",53001518,53001940,3.92,2.97,4.49,-1.52,0.269,1
"chr3",58984158,58984650,3.64,2.72,4.2,-1.48,0.269,1
"chr8",26621642,26622046,3.2,2.27,3.76,-1.49,0.269,1
"chr6",57445468,57446251,4.11,3.34,4.62,-1.28,0.269,1
"chr2",105585974,105586689,4.63,3.77,5.17,-1.4,0.269,1
"chr1",177917468,177917930,3.62,2.75,4.15,-1.4,0.27,1
"chr8",73899242,73899628,3.42,2.48,3.98,-1.5,0.27,1
"chrX",102719176,102720062,3.88,3.03,4.42,-1.38,0.271,1
"chr5",35926364,35926975,3.59,2.71,4.13,-1.42,0.271,1
"chr12",85486342,85487265,4.18,3.32,4.72,-1.4,0.271,1
"chr8",96770907,96771314,3.72,2.82,4.28,-1.45,0.272,1
"chr2",165871566,165871947,2.83,1.86,3.4,-1.53,0.272,1
"chr1",77366858,77367279,3.13,2.16,3.71,-1.55,0.272,1
"chr12",98548662,98549057,2.81,1.86,3.37,-1.51,0.272,1
"chr13",80205453,80205720,2.81,1.86,3.37,-1.51,0.272,1
"chr1",220011015,220011501,3.27,2.37,3.82,-1.46,0.272,1
"chr10",23582030,23582459,3.21,2.27,3.78,-1.51,0.272,1
"chr13",32575412,32575824,2.87,2.02,3.41,-1.39,0.273,1
"chr19",32778676,32779063,3.08,2.14,3.65,-1.51,0.273,1
"chr1",19239459,19239956,3.12,2.29,3.65,-1.36,0.273,1
"chr9",128275802,128276547,4,3.16,4.52,-1.36,0.273,1
"chr15",91685169,91685754,3.07,2.16,3.62,-1.46,0.273,1
"chr5",71475094,71475471,3.06,2.18,3.61,-1.42,0.273,1
"chr4",148787893,148788331,3.5,2.58,4.06,-1.48,0.274,1
"chr3",164924490,164925227,4.72,3.77,5.29,-1.52,0.274,1
"chr14",46020452,46021001,3.05,2.18,3.58,-1.4,0.274,1
"chr9",110266781,110267524,3.66,2.81,4.2,-1.39,0.274,1
"chr4",125861433,125862777,3.71,2.91,4.22,-1.32,0.274,1
"chrX",63614871,63615555,4.15,3.2,4.72,-1.52,0.275,1
"chr9",104467362,104467915,3.35,2.33,3.95,-1.62,0.275,1
"chr18",74679159,74679671,1.61,0.53,2.22,-1.69,0.275,1
"chr16",17195508,17195822,2.86,1.92,3.42,-1.51,0.276,1
"chr2",141566329,141566746,2.86,1.92,3.42,-1.51,0.276,1
"chr4",70183402,70184002,3.18,2.18,3.76,-1.58,0.276,1
"chr3",155070647,155071086,2.87,1.86,3.45,-1.59,0.277,1
"chr1",231037911,231038254,0.66,-1.06,1.42,-2.47,0.277,1
"chr15",66194706,66195153,3.57,2.63,4.13,-1.5,0.277,1
"chr7",93918265,93918703,3.02,2.07,3.59,-1.52,0.277,1
"chr3",31118644,31119004,2.75,1.84,3.3,-1.46,0.277,1
"chr19",37701189,37701747,3.99,3.14,4.52,-1.38,0.278,1
"chr15",92821011,92821493,3.31,2.4,3.86,-1.46,0.278,1
"chr17",64751165,64751737,3.31,2.4,3.86,-1.46,0.278,1
"chr3",27270275,27270690,3.11,2.18,3.67,-1.49,0.278,1
"chr7",114541709,114542266,3.55,2.69,4.08,-1.39,0.279,1
"chr19",8213398,8213960,3.16,2.37,3.67,-1.3,0.279,1
"chr4",166414424,166414832,2.95,2.04,3.51,-1.46,0.279,1
"chr12",130671379,130671793,2.61,1.56,3.21,-1.64,0.279,1
"chr1",158083064,158083721,4.84,4.01,5.36,-1.36,0.279,1
"chr10",117177015,117177592,4.43,3.56,4.97,-1.41,0.279,1
"chrX",82068560,82069157,4.13,3.22,4.68,-1.45,0.279,1
"chr19",18977290,18977665,3.06,2.27,3.57,-1.31,0.279,1
"chr6",40792033,40792473,3.29,2.33,3.86,-1.54,0.279,1
"chr3",67408203,67408729,3.97,3.07,4.52,-1.45,0.279,1
"chr3",130199576,130199980,3.04,2.09,3.61,-1.51,0.279,1
"chr9",7185539,7186100,4.04,3.21,4.56,-1.35,0.28,1
"chrX",123345174,123345614,2.59,1.56,3.18,-1.61,0.28,1
"chr8",127792096,127792411,2.13,1.22,2.68,-1.46,0.28,1
"chr1",164409418,164409808,2.75,1.78,3.33,-1.55,0.28,1
"chr1",242588506,242588965,3.07,2.09,3.65,-1.56,0.28,1
"chr2",89850534,89850953,1.11,1.81,-0.3,2.11,0.28,1
"chr8",67333971,67334342,2.77,1.78,3.36,-1.58,0.28,1
"chr15",100248835,100249247,3.9,2.99,4.45,-1.45,0.28,1
"chr16",32007607,32008043,1.85,0.66,2.49,-1.83,0.28,1
"chr4",163969529,163970152,3.2,2.29,3.76,-1.47,0.281,1
"chr11",79130044,79130610,3.52,2.68,4.05,-1.38,0.281,1
"chr3",119962694,119963432,3.56,2.77,4.07,-1.31,0.281,1
"chr7",98759986,98760534,4.26,3.4,4.79,-1.39,0.281,1
"chr11",82952325,82952823,3.55,2.68,4.09,-1.41,0.281,1
"chr6",166138749,166139105,2.81,1.84,3.38,-1.55,0.281,1
"chr14",23525344,23525827,4.26,3.35,4.81,-1.47,0.281,1
"chr9",104490135,104490803,3.34,2.46,3.89,-1.43,0.281,1
"chr8",110746547,110747903,4.34,3.52,4.85,-1.33,0.281,1
"chr9",100967929,100968402,3.18,2.33,3.72,-1.39,0.281,1
"chr9",124767868,124768261,2.92,2.04,3.46,-1.41,0.282,1
"chr11",116324774,116325165,3.16,2.31,3.69,-1.38,0.282,1
"chr2",143868356,143868857,3.39,2.53,3.92,-1.39,0.282,1
"chr1",6217633,6218373,4.42,3.59,4.95,-1.36,0.282,1
"chr12",55074136,55074540,3.12,2.22,3.66,-1.44,0.282,1
"chr2",15043813,15044316,4.03,3.1,4.6,-1.49,0.283,1
"chr15",50124840,50125219,3.15,2.33,3.68,-1.35,0.283,1
"chr12",10545058,10545356,2.92,2.04,3.47,-1.42,0.283,1
"chr3",73241105,73241573,2.88,1.86,3.48,-1.61,0.284,1
"chr3",101354992,101355500,3.07,2.11,3.64,-1.52,0.284,1
"chr3",159040043,159040554,3.11,2.27,3.64,-1.38,0.284,1
"chr3",98536348,98536673,2.73,1.75,3.31,-1.56,0.284,1
"chr3",187036558,187037869,4.7,3.85,5.22,-1.37,0.285,1
"chr6",170826039,170826451,2.92,2.02,3.47,-1.45,0.285,1
"chr5",167474290,167474823,3.83,2.96,4.36,-1.41,0.285,1
"chr2",90265239,90265808,0.72,-1.06,1.49,-2.55,0.286,1
"chr7",74560977,74561511,0.72,-1.06,1.49,-2.55,0.286,1
"chr2",183814221,183814706,3,2.09,3.55,-1.46,0.286,1
"chr5",125874726,125875208,3.19,2.2,3.77,-1.57,0.286,1
"chr2",208966413,208967040,3.9,3.03,4.44,-1.41,0.286,1
"chr4",34295130,34295581,2.87,1.97,3.42,-1.45,0.286,1
"chr1",244763122,244763654,3.84,2.96,4.38,-1.42,0.286,1
"chr16",83640232,83640895,3.99,3.13,4.52,-1.4,0.286,1
"chr6",72901649,72901860,0.9,-0.54,1.61,-2.15,0.286,1
"chr17",60342304,60342805,1.89,0.66,2.54,-1.88,0.286,1
"chr2",143919732,143920234,3.44,2.58,3.98,-1.4,0.286,1
"chr14",61822481,61822964,4.22,3.35,4.76,-1.41,0.286,1
"chr2",16146422,16146950,3.28,2.38,3.82,-1.44,0.286,1
"chr9",2367864,2368330,2.77,2,3.27,-1.28,0.286,1
"chr4",34182651,34183790,4.49,3.64,5.02,-1.37,0.287,1
"chr6",109103429,109104017,3.52,2.77,4.01,-1.25,0.287,1
"chr8",32869064,32869611,0.97,-0.4,1.66,-2.07,0.287,1
"chr1",43289718,43290090,1.77,0.66,2.39,-1.73,0.287,1
"chr2",89233496,89233974,3.32,2.33,3.9,-1.57,0.288,1
"chr4",104986078,104986576,3.18,2.27,3.73,-1.47,0.288,1
"chr1",49397235,49397691,3.06,2.16,3.61,-1.45,0.288,1
"chr4",153406943,153407720,2.88,2.04,3.41,-1.36,0.288,1
"chr1",49018113,49018588,3.09,2.16,3.65,-1.49,0.289,1
"chr14",69341551,69341991,3.09,2.16,3.65,-1.49,0.289,1
"chr3",175064672,175065160,3.25,2.42,3.77,-1.35,0.289,1
"chr7",31162162,31162555,3.77,2.96,4.28,-1.33,0.289,1
"chr4",82765790,82766295,3.84,2.93,4.4,-1.46,0.289,1
"chr15",50167564,50168011,2.63,1.66,3.21,-1.55,0.289,1
"chrX",135244989,135245445,2.94,1.97,3.51,-1.54,0.289,1
"chr12",98396646,98397026,2.91,1.89,3.5,-1.61,0.289,1
"chr6",127963081,127963572,3.56,2.74,4.08,-1.34,0.289,1
"chr3",8766016,8766607,3.49,2.66,4.02,-1.35,0.289,1
