"combineID"	"logFC"	"P.Value"	"adj.P.Val"	"Gene.symbol"	"GSE41258"	"GSE14297"	"GSE35834"
"gene_15775"	2.05541448105655	6.8149400753457e-09	2.15597163001514e-06	"SERPINA1"	"211429_s_at"	2450414	"5265_at"
"gene_3217"	1.47923407874674	6.87527492962576e-09	2.15597163001514e-06	"CFH"	"213800_at"	4050112	"3075_at"
"gene_7770"	2.72324887168185	7.48924535963713e-09	2.3005739010869e-06	"HRG"	"206226_at"	2680129	"3273_at"
"gene_7757"	2.8081644597346	8.54049219920005e-09	2.57102977164718e-06	"HPX"	"39763_at"	3990390	"3263_at"
"gene_6535"	1.82357862077328	8.98967109025737e-09	2.65318684805008e-06	"GATM"	"203178_at"	5720092	"2628_at"
"gene_10396"	-2.85310738229037	9.9485305025569e-09	2.87971694470166e-06	"MMP1"	"204475_at"	6180630	"4312_at"
"gene_6008"	3.89004469946343	1.02519514732048e-08	2.91155421839016e-06	"FGA"	"205649_s_at"	150551	"2243_at"
"gene_1117"	2.47717654468186	1.05352297543402e-08	2.93659774559869e-06	"APOC2"	"204561_x_at"	990164	"344_at"
"gene_16911"	-1.53008067453151	1.10536895888287e-08	3.02509337620089e-06	"SPARCL1"	"200795_at"	5960070	"8404_at"
"gene_17873"	3.32227194863503	1.12967958094678e-08	3.03641733078766e-06	"TF"	"214063_s_at"	5080474	"7018_at"
"gene_5769"	2.44358797537025	1.20426783464339e-08	3.18011218369339e-06	"F9"	"207218_at"	7550592	"2158_at"
"gene_2552"	-1.24029834368876	1.81405710309322e-08	4.70779095099296e-06	"CAV1"	"203065_s_at"	2650754	"857_at"
"gene_15774"	2.09182815869825	1.91579645330133e-08	4.88755393476129e-06	"SERPINA1"	"202833_s_at"	2450414	"5265_at"
"gene_3311"	-1.4829969974552	2.04696766715443e-08	5.09859280821879e-06	"CHN1"	"212624_s_at"	1710369	"1123_at"
"gene_17871"	2.93921967657056	2.09429740615784e-08	5.09859280821879e-06	"TF"	"203400_s_at"	5080474	"7018_at"
"gene_4301"	4.80936724606881	2.10013788273694e-08	5.09859280821879e-06	"CYP2E1"	"209976_s_at"	5570228	"1571_at"
"gene_2218"	1.96412943837292	2.52297789786784e-08	6.02791481249314e-06	"C5"	"205500_at"	1010424	"727_at"
"gene_7756"	3.7770756780647	2.61202121079129e-08	6.14314738512977e-06	"HPX"	"210013_at"	3990390	"3263_at"
"gene_15796"	2.79630158733148	2.78809755580458e-08	6.4563760630724e-06	"SERPINC1"	"210049_at"	7400240	"462_at"
"gene_993"	1.80072340985822	3.11861241914728e-08	7.1123263837886e-06	"AOX1"	"205083_at"	4250291	"316_at"
"gene_8535"	2.27054121825885	3.54257397878182e-08	7.95863037740656e-06	"ITIH3"	"205755_at"	6270521	"3699_at"
"gene_2212"	1.99495603282147	3.95100418730572e-08	8.74566397460671e-06	"C3"	"217767_at"	2900278	"718_at"
"gene_16946"	-2.40658829686784	4.28666310882181e-08	9.35113813246173e-06	"SPINK4"	"207214_at"	5290619	"27290_at"
"gene_889"	-0.983004433343543	4.49948045031044e-08	9.6751685340104e-06	"ANGPTL2"	"213001_at"	6770273	"23452_at"
"gene_587"	3.10717821067244	4.8577485621608e-08	1.02984269517809e-05	"AHSG"	"204551_s_at"	6350458	"197_at"
"gene_6214"	-1.06495417113709	5.00579486402792e-08	1.0464892262965e-05	"FOXF1"	"205935_at"	270608	"2294_at"
"gene_4293"	1.58734239425007	5.33708942078629e-08	1.10046397207774e-05	"CYP2C9"	"214420_s_at"	1240703	"1559_at"
"gene_16963"	1.97172037008272	5.73921643593867e-08	1.16738764586147e-05	"SPP1"	"209875_s_at"	1500241	"6696_at"
"gene_6071"	2.41905215221799	6.20546821053093e-08	1.24539610006549e-05	"FGL1"	"205305_at"	3390152	"2267_at"
"gene_6536"	1.72542571943776	6.93435172904093e-08	1.37336660823058e-05	"GATM"	"216733_s_at"	5720092	"2628_at"
"gene_3806"	2.2639961429478	7.22226281508082e-08	1.41181168691684e-05	"CPB2"	"206651_s_at"	7100152	"1361_at"
"gene_1124"	1.23168212080536	7.43651076332449e-08	1.43505589755846e-05	"APOE"	"212884_x_at"	4150338	"348_at"
"gene_4286"	2.25423971260429	9.72214633142978e-08	1.82944384688186e-05	"CYP2C8"	"208147_s_at"	4730431	"1558_at"
"gene_1127"	4.4615959949458	9.72332631879807e-08	1.82944384688186e-05	"APOH"	"205216_s_at"	5130504	"350_at"
"gene_12632"	-1.57396193573872	9.91230632871181e-08	1.84197573900951e-05	"PDPN"	"221898_at"	6510482	"10630_at"
"gene_16490"	-0.829494843532598	1.04614159302386e-07	1.92030771441403e-05	"SLCO2A1"	"204368_at"	540128	"6578_at"
"gene_7330"	1.22347515369873	1.06559949886807e-07	1.93245827192315e-05	"HABP2"	"206010_at"	6350681	"3026_at"
"gene_5757"	2.94405419974449	1.20149315281942e-07	2.15296130193308e-05	"F2"	"205754_at"	7210050	"2147_at"
"gene_1119"	3.75541726743006	1.27381119066986e-07	2.24079550837453e-05	"APOC3"	"205820_s_at"	3930672	"345_at"
"gene_1122"	1.60703756566056	1.28028443874707e-07	2.24079550837453e-05	"APOE"	"203381_s_at"	4150338	"348_at"
"gene_1098"	3.16481940027605	1.49651795369002e-07	2.58914807344162e-05	"APOA1"	"217073_x_at"	4560202	"335_at"
"gene_4267"	1.32658493081533	1.58088716972896e-07	2.70037982832598e-05	"CYP1B1"	"202436_s_at"	6760255	"1545_at"
"gene_19075"	2.63287808454823	1.59669017220975e-07	2.70037982832598e-05	"UGT2B4"	"206505_at"	3180356	"7363_at"
"gene_891"	-0.929950628050629	1.66632834525788e-07	2.78684158364685e-05	"ANGPTL2"	"213004_at"	6770273	"23452_at"
"gene_14822"	-1.09061522130593	1.71420843112221e-07	2.83541376980786e-05	"RGS5"	"209071_s_at"	110754	"8490_at"
"gene_526"	1.23697545012581	1.91883372140887e-07	3.13937882333112e-05	"AFM"	"206840_at"	7650451	"173_at"
"gene_1097"	3.14402756318724	2.07972659607266e-07	3.31231389392975e-05	"APOA1"	"204450_x_at"	4560202	"335_at"
"gene_18051"	0.771503755932493	2.08921627542611e-07	3.31231389392975e-05	"TIMP1"	"201666_at"	4290195	"7076_at"
"gene_8533"	2.05205554917239	2.09055155410129e-07	3.31231389392975e-05	"ITIH1"	"210888_s_at"	4780364	"3697_at"
"gene_2553"	-1.35751455439812	2.16458487942071e-07	3.39388870885838e-05	"CAV1"	"212097_at"	2650754	"857_at"
"gene_1409"	1.71102155269743	2.64569447541658e-07	4.10546322102787e-05	"ASGR2"	"206130_s_at"	50681	"433_at"
"gene_5"	1.9301244104878	3.35334419971569e-07	5.15046294837965e-05	"AADAC"	"205969_at"	580711	"13_at"
"gene_4266"	1.75907691743155	3.52404264644748e-07	5.3579686782149e-05	"CYP1B1"	"202437_s_at"	6760255	"1545_at"
"gene_2221"	1.89215017194904	3.6584598107174e-07	5.45738409621939e-05	"C8A"	"206305_s_at"	5220543	"731_at"
"gene_14823"	-1.19788712528284	3.66194388598298e-07	5.45738409621939e-05	"RGS5"	"209070_s_at"	110754	"8490_at"
"gene_831"	4.16578349043466	3.70125510710453e-07	5.46189136001346e-05	"AMBP"	"205477_s_at"	1050162	"259_at"
"gene_19350"	2.04914987193161	3.86798137211932e-07	5.65251025370292e-05	"VNN1"	"205844_at"	3140382	"8876_at"
"gene_9026"	3.75993075195514	3.92713310792361e-07	5.68376995581405e-05	"KNG1"	"206054_at"	5900196	"3827_at"
"gene_4291"	1.77999783356588	4.16257008592856e-07	5.91467159237762e-05	"CYP2C9"	"220017_x_at"	1240703	"1559_at"
"gene_1357"	0.646097374917552	4.16526168477297e-07	5.91467159237762e-05	"ART4"	"207220_at"	7610523	"420_at"
"gene_3129"	-1.93349023001957	4.62683494232702e-07	6.5087027618604e-05	"CEACAM7"	"211848_s_at"	1010626	"1087_at"
"gene_14821"	-1.0847036873086	4.82545832849336e-07	6.68262890269889e-05	"RGS5"	"218353_at"	110754	"8490_at"
"gene_3218"	1.23723978568007	4.83926754181623e-07	6.68262890269889e-05	"CFH"	"213800_at"	6130240	"3075_at"
"gene_3219"	1.47558675272032	5.43117258548626e-07	7.43181906879447e-05	"CFHR2"	"206910_x_at"	3310333	"3080_at"
"gene_5895"	-0.688313434152679	5.55285920360154e-07	7.52987718311805e-05	"FBN2"	"203184_at"	1580156	"2201_at"
"gene_12630"	-1.16208520600054	5.69810192849511e-07	7.65784198461682e-05	"PDPN"	"204879_at"	6510482	"10630_at"
"gene_15797"	1.64125527032428	5.9995278685914e-07	7.99158349363166e-05	"SERPIND1"	"205576_at"	6350717	"3053_at"
"gene_15781"	1.45797760077762	7.10903788708689e-07	9.38642441021332e-05	"SERPINA6"	"206325_at"	3460538	"866_at"
"gene_15780"	1.46396687814208	7.75400453092855e-07	0.000100859145958638	"SERPINA5"	"209443_at"	430041	"5104_at"
"gene_5763"	-1.40834631228828	7.77282814988174e-07	0.000100859145958638	"F3"	"204363_at"	5860333	"2152_at"
"gene_13045"	-0.906118530763973	8.12712248308547e-07	0.000104555083431968	"PLA2G10"	"207222_at"	1230253	"8399_at"
"gene_2983"	0.909245612286741	8.29478055494614e-07	0.000105807658400889	"CDH2"	"203441_s_at"	4780376	"1000_at"
"gene_9644"	-1.11020721696306	8.81865259078085e-07	0.000111544839324734	"MAB21L2"	"210302_s_at"	1990372	"10586_at"
"gene_18848"	2.89518710896322	8.9653090889716e-07	0.000112454860339334	"TTR"	"209660_at"	1940671	"7276_at"
"gene_12550"	-1.03724842998414	9.97274251842157e-07	0.000123400213589514	"PDGFRA"	"203131_at"	1090433	"5156_at"
"gene_19509"	-0.86302371055964	1.00018775298437e-06	0.000123400213589514	"WFDC1"	"219478_at"	510048	"58189_at"
"gene_7114"	-1.31939649050223	1.04099046252117e-06	0.000126904796654883	"GREM1"	"218469_at"	6450168	"26585_at"
"gene_13583"	-0.794577844187274	1.04545540693632e-06	0.000126904796654883	"PRDM1"	"217192_s_at"	2350324	"639_at"
"gene_1121"	1.72698169413191	1.05914072937669e-06	0.000127537490068623	"APOE"	"203382_s_at"	4150338	"348_at"
"gene_3400"	-2.40459315272926	1.18692846960623e-06	0.00014130540416566	"CLCA1"	"210107_at"	4830497	"1179_at"
"gene_16412"	-1.27506921424239	1.19225261287794e-06	0.00014130540416566	"SLC6A14"	"219795_at"	6400068	"11254_at"
"gene_454"	1.82262011618645	1.28414631497086e-06	0.000151007580726104	"ADH1B"	"209612_s_at"	5910403	"125_at"
"gene_16267"	-1.65261322216304	1.31439696833226e-06	0.000153366691219668	"SLC26A3"	"206143_at"	7000072	"1811_at"
"gene_2220"	1.6559962270001	1.32917017477872e-06	0.000153897457467456	"C6"	"210168_at"	5570315	"729_at"
"gene_9229"	1.59057383705027	1.37396703269673e-06	0.000157869860886651	"LECT2"	"207409_at"	6550445	"3950_at"
"gene_890"	-0.891925160424576	1.53418034255975e-06	0.000173965383989817	"ANGPTL2"	"219514_at"	6770273	"23452_at"
"gene_3805"	1.84975917651447	1.53716423536046e-06	0.000173965383989817	"CPB2"	"206651_s_at"	870246	"1361_at"
"gene_3405"	-2.44383827873339	1.58990103633856e-06	0.000178590973126626	"CLCA4"	"220026_at"	6760228	"22802_at"
"gene_5882"	-1.1563218346984	1.64527372142347e-06	0.000183149273646835	"FBLN1"	"202995_s_at"	6940338	"2192_at"
"gene_8125"	2.08655019920688	1.65481671644762e-06	0.000183149273646835	"IGFBP1"	"205302_at"	2650544	"3484_at"
"gene_5872"	-1.56272959012469	1.67529872753584e-06	0.000184062747787368	"FBLN1"	"202994_s_at"	6660246	"2192_at"
"gene_4312"	1.78878525913817	1.71318072873691e-06	0.000186860842963392	"CYP3A4"	"205999_x_at"	6110497	"1576_at"
"gene_5884"	-1.2267153275984	1.78673749893455e-06	0.000193481818949373	"FBLN1"	"202995_s_at"	6660246	"2192_at"
"gene_5765"	1.40856587069381	1.81398924574872e-06	0.000195029758050069	"F5"	"204714_s_at"	3940433	"2153_at"
"gene_15803"	1.20632692813824	1.92937904929258e-06	0.000205964634396822	"SERPING1"	"200986_at"	4390575	"710_at"
"gene_4290"	1.58387156327767	1.96979048137451e-06	0.000208797791025698	"CYP2C9"	"214421_x_at"	1240703	"1559_at"
"gene_11459"	0.476683014483793	2.01547977843144e-06	0.00021214686451014	"NR1H3"	"203920_at"	2600465	"10062_at"
"gene_9027"	1.9641420883781	2.0335974505259e-06	0.000212567422398026	"KNG1"	"217512_at"	5900196	"3827_at"
"gene_1201"	1.66290309902965	2.05753265392171e-06	0.000213586079357445	"ARG1"	"206177_s_at"	6860754	"383_at"
"gene_5870"	-1.49233609722469	2.27231778891382e-06	0.000234266625744732	"FBLN1"	"202994_s_at"	6940338	"2192_at"
"gene_6252"	-0.751394410899986	2.34698364847847e-06	0.000240318352904067	"FRZB"	"203697_at"	4590541	"2487_at"
"gene_10092"	-0.494565602526425	2.54359582397102e-06	0.000258690569881161	"MCAM"	"211340_s_at"	460497	"4162_at"
"gene_4310"	1.70739518106863	2.82144765012932e-06	0.000285023020333869	"CYP3A4"	"208367_x_at"	6110497	"1576_at"
"gene_13331"	1.17896424533711	2.86438173281373e-06	0.000285660613280264	"PON3"	"213695_at"	3370092	"5446_at"
"gene_14026"	1.10274471721237	2.86571569262024e-06	0.000285660613280264	"PTGIS"	"208131_s_at"	2900722	"5740_at"
"gene_4513"	1.25087833959702	2.97898505254584e-06	0.000294997914545526	"DEFB1"	"210397_at"	5360463	"1672_at"
"gene_455"	2.03228675553696	3.11356966249703e-06	0.000306310134378466	"ADH1B"	"209613_s_at"	5910403	"125_at"
"gene_4275"	1.0493313113493	3.17246917328048e-06	0.000310077961014401	"CYP27A1"	"203979_at"	4060114	"1593_at"
"gene_6266"	-0.740295832190636	3.54175199185313e-06	0.000343938393428215	"FSTL1"	"208782_at"	2970296	"11167_at"
"gene_13044"	-0.698756139830639	3.69946963320633e-06	0.000356951390506549	"PLA2G10"	"207222_at"	2140491	"8399_at"
"gene_5958"	-2.17575623060637	3.881503450367e-06	0.000372129872196969	"FCGBP"	"203240_at"	1770332	"8857_at"
"gene_9207"	-1.21952491095732	3.94218639422513e-06	0.000375555630416941	"LCN2"	"212531_at"	6960554	"3934_at"
"gene_5883"	-0.957215124465063	4.01854193307144e-06	0.000380421969664096	"FBLN1"	"202995_s_at"	5050452	"2192_at"
"gene_7744"	1.87631150492011	4.08367365083848e-06	0.00038417159870263	"HPD"	"206024_at"	5090554	"3242_at"
"gene_3802"	-1.33268159803304	4.11873119862147e-06	0.000385062993799071	"CPA3"	"205624_at"	1400762	"1359_at"
"gene_13084"	-0.819828203016471	4.17001107202228e-06	0.000387450658370861	"PLAU"	"211668_s_at"	1740349	"5328_at"
"gene_4287"	1.49240928522469	4.33131931344315e-06	0.000399969437459793	"CYP2C9"	"216025_x_at"	1240703	"1559_at"
"gene_9198"	1.6362146318971	4.53360140908941e-06	0.000413708151054488	"LBP"	"211652_s_at"	1980619	"3929_at"
"gene_3128"	-1.65550958475237	4.53506809221303e-06	0.000413708151054488	"CEACAM7"	"206199_at"	1010626	"1087_at"
"gene_15506"	1.5963798522855	4.75617008427938e-06	0.000429869258246326	"SAA4"	"207096_at"	3830079	"6291_at"
"gene_4268"	1.01541088088458	4.76934401588735e-06	0.000429869258246326	"CYP1B1"	"202435_s_at"	6760255	"1545_at"
"gene_7338"	1.25783044281146	4.89684463042686e-06	0.000438733960578482	"HAMP"	"220491_at"	4250768	"57817_at"
"gene_3691"	-0.913706917475786	4.96620358953005e-06	0.000442116602911069	"COL6A2"	"209156_s_at"	5670468	"1292_at"
"gene_7321"	-0.517927926513203	4.99334457180984e-06	0.000442116602911069	"H2AFZ"	"200853_at"	4920730	"3015_at"
"gene_15802"	1.27288886144119	5.16926712913935e-06	0.000455016425893599	"SERPINF2"	"205075_at"	4210377	"5345_at"
"gene_5880"	-1.27462520459559	5.38621945401821e-06	0.000471356832685361	"FBLN1"	"201787_at"	6660246	"2192_at"
"gene_18913"	-0.499739152471801	5.5196139812637e-06	0.00048023832165307	"TYMS"	"202589_at"	5490521	"7298_at"
"gene_1712"	0.982803403256336	5.85034703313789e-06	0.000504570990727713	"AZGP1"	"209309_at"	1510324	"563_at"
"gene_6690"	-0.752496623501308	5.88449072141948e-06	0.000504570990727713	"GJA1"	"201667_at"	2600184	"2697_at"
"gene_4297"	2.06690473308503	5.90916709768518e-06	0.000504570990727713	"CYP2E1"	"222100_at"	5570228	"1571_at"
"gene_10091"	-0.602201294940487	5.9562507331268e-06	0.000504570990727713	"MCAM"	"209087_x_at"	460497	"4162_at"
"gene_588"	3.80434601663157	5.96689053611034e-06	0.000504570990727713	"AHSG"	"210929_s_at"	6350458	"197_at"
"gene_9197"	3.88288249982589	6.00675751159157e-06	0.000505104547846236	"LBP"	"214461_at"	1980619	"3929_at"
"gene_5878"	-1.20423171169559	6.08784138928795e-06	0.000509078825508679	"FBLN1"	"201787_at"	6940338	"2192_at"
"gene_992"	1.73906131122001	6.17870061674216e-06	0.000513822108746978	"AOX1"	"205082_s_at"	4250291	"316_at"
"gene_2216"	1.87039215587451	6.32188204705563e-06	0.000522840486660887	"C4BPA"	"205654_at"	2760520	"722_at"
"gene_8144"	-2.28586873620981	6.48338900434522e-06	0.000533267602696198	"IGJ"	"212592_at"	6450672	"3512_at"
"gene_17402"	-0.642708340970054	6.52808195093091e-06	0.000534025486551152	"SULT1B1"	"207601_at"	6900154	"27284_at"
"gene_10738"	-0.913833849830573	6.83598455362464e-06	0.000555070420340905	"MXRA5"	"209596_at"	990072	"25878_at"
"gene_14768"	1.02401811937884	6.85909501617117e-06	0.000555070420340905	"RGN"	"210751_s_at"	630246	"9104_at"
"gene_1446"	0.945600320468782	7.14814477944737e-06	0.000572729970203808	"ATF5"	"204998_s_at"	6040358	"22809_at"
"gene_13179"	-0.764271851965307	7.1534171138929e-06	0.000572729970203808	"PLVAP"	"221529_s_at"	5090242	"83483_at"
"gene_2223"	1.37982760843538	7.63405951575428e-06	0.000607978115508643	"C8G"	"210324_at"	130041	"733_at"
"gene_734"	2.8297688316407	8.5386391512673e-06	0.000676439981604608	"ALB"	"214837_at"	2710427	"213_at"
"gene_14767"	0.966606488012176	8.90029066035795e-06	0.000701398822092711	"RGN"	"210751_s_at"	2370634	"9104_at"
"gene_9647"	-0.920843764038019	8.9958586273535e-06	0.000705237833640234	"MAB21L2"	"210303_at"	1990372	"10586_at"
"gene_7792"	1.26195970606486	9.22259983756097e-06	0.000719267216346983	"HSD11B1"	"205404_at"	450411	"3290_at"
"gene_6563"	0.451872036070474	9.9016245448071e-06	0.000768243570352765	"GCHFR"	"204867_at"	4890491	"2644_at"
"gene_9642"	-0.92564893829639	1.02777403037034e-05	0.000793336138724837	"MAB21L2"	"210302_s_at"	1980431	"10586_at"
"gene_16268"	-1.50373214309301	1.06388853242822e-05	0.00081702296888314	"SLC26A3"	"215657_at"	7000072	"1811_at"
"gene_7793"	1.1575285514982	1.08295693339564e-05	0.000823824469263691	"HSD11B1"	"205404_at"	3390370	"3290_at"
"gene_4459"	-0.761615069414253	1.08511980569712e-05	0.000823824469263691	"DDR2"	"205168_at"	2900544	"4921_at"
"gene_18132"	0.577795726837947	1.08916469162553e-05	0.000823824469263691	"TM4SF5"	"206242_at"	2850750	"9032_at"
"gene_13147"	3.58804415254996	1.12286649321012e-05	0.000845069322789933	"PLG"	"209977_at"	6450370	"5340_at"
"gene_10090"	-0.722419253247968	1.14931288786646e-05	0.000860669531749552	"MCAM"	"210869_s_at"	460497	"4162_at"
"gene_11268"	-0.633965515054806	1.170062438844e-05	0.000870939083508532	"NID2"	"204114_at"	2060240	"22795_at"
"gene_5871"	-1.29322938699135	1.17459894998825e-05	0.000870939083508532	"FBLN1"	"202994_s_at"	5050452	"2192_at"
"gene_1125"	0.987733014528589	1.19250248431471e-05	0.000879879774211029	"APOE"	"212883_at"	4150338	"348_at"
"gene_5972"	1.47190802803021	1.31753725474301e-05	0.000967393695531305	"FCN3"	"205866_at"	1500603	"8547_at"
"gene_14628"	2.26707754768112	1.36074547718572e-05	0.000994268976825213	"RBP4"	"219140_s_at"	6560435	"5950_at"
"gene_2222"	1.40255367095193	1.39601143455619e-05	0.00101510937743671	"C8B"	"206979_at"	1010500	"732_at"
"gene_3690"	-0.847408196275787	1.44148268496447e-05	0.00104313448913871	"COL6A2"	"209156_s_at"	2940411	"1292_at"
"gene_5134"	-0.774233891967083	1.61452747221258e-05	0.00116276878046621	"EDNRA"	"204464_s_at"	2480142	"1909_at"
"gene_6215"	-0.820809146155718	1.63503842935716e-05	0.00117193325898495	"FOXF2"	"206377_at"	3800132	"2295_at"
"gene_11804"	-0.65259065096948	1.74237588069551e-05	0.00124294984626677	"OLFML2A"	"213075_at"	2480471	"169611_at"
"gene_17633"	1.43112897278707	1.9547230048535e-05	0.00138785333344599	"TAT"	"214413_at"	1580671	"6898_at"
"gene_5879"	-1.00512500146226	2.19404758060771e-05	0.00154386990851278	"FBLN1"	"201787_at"	5050452	"2192_at"
"gene_9978"	1.28812483688724	2.19497847742316e-05	0.00154386990851278	"MAT1A"	"205813_s_at"	6220347	"4143_at"
"gene_3695"	-0.742292263773291	2.30113433399915e-05	0.00161100809280722	"COL6A3"	"201438_at"	1580368	"1293_at"
"gene_13071"	-1.28072867317749	2.3461658846375e-05	0.00163493004146128	"PLAC8"	"219014_at"	840253	"51316_at"
"gene_570"	2.4357194615769	2.46336928347832e-05	0.00170869283202376	"AGXT"	"210327_s_at"	4920678	"189_at"
"gene_15905"	-0.399407116022305	2.49740849610346e-05	0.00172435746253896	"SGCB"	"205120_s_at"	1070037	"6443_at"
"gene_892"	1.85675234414647	2.54784885360438e-05	0.00175115164129923	"ANGPTL3"	"219803_at"	6940176	"27329_at"
